# ======================================================================
# Aggregated IP/Proxy Addresses
# Generated: 2026-01-01 12:35:56 UTC
# Total: 1616 | Valid: 763 | Untested: 0
# ======================================================================
# Format: ADDRESS | STATUS | LATENCY | TYPE | LOCATION | ISP
# ======================================================================

47.80.10.68:1080       | ✗ | -       | -    | 韩国              | -
47.80.10.71:1080       | ✗ | -       | -    | 韩国              | -
47.80.10.78:1080       | ✗ | -       | -    | 韩国              | -
47.80.10.125:1080      | ✗ | -       | -    | 韩国              | -
47.80.10.135:1080      | ✗ | -       | -    | 韩国              | -
47.80.10.143:1080      | ✗ | -       | -    | 韩国              | -
47.80.10.171:1080      | ✗ | -       | -    | 韩国              | -
47.80.10.220:1080      | ✗ | -       | -    | 韩国              | -
47.80.10.221:1080      | ✗ | -       | -    | 韩国              | -
47.80.10.230:1080      | ✗ | -       | -    | 韩国              | -
47.80.10.240:1080      | ✗ | -       | -    | 韩国              | -
47.80.10.242:1080      | ✗ | -       | -    | 韩国              | -
47.80.11.1:1080        | ✗ | -       | -    | 韩国              | -
47.80.11.12:1080       | ✗ | -       | -    | 韩国              | -
47.80.11.14:1080       | ✗ | -       | -    | 韩国              | -
47.80.11.100:1080      | ✗ | -       | -    | 韩国              | -
47.80.11.105:1080      | ✗ | -       | -    | 韩国              | -
47.80.11.108:1080      | ✗ | -       | -    | 韩国              | -
47.80.11.115:1080      | ✗ | -       | -    | 韩国              | -
47.80.11.165:1080      | ✗ | -       | -    | 韩国              | -
47.80.11.179:1080      | ✗ | -       | -    | 韩国              | -
47.83.11.70:1080       | ✓ | 199ms   | -    | 韩国              | -
47.83.25.131:1080      | ✓ | 195ms   | -    | 韩国              | -
47.83.193.175:1080     | ✓ | 198ms   | -    | 韩国              | -
47.83.196.134:1080     | ✓ | 196ms   | -    | 韩国              | -
47.83.197.81:1080      | ✗ | -       | -    | 韩国              | -
47.83.198.248:1080     | ✓ | 195ms   | -    | 韩国              | -
47.83.203.166:1080     | ✓ | 198ms   | -    | 韩国              | -
47.83.212.147:1080     | ✓ | 195ms   | -    | 韩国              | -
47.83.215.59:1080      | ✓ | 194ms   | -    | 韩国              | -
47.83.216.210:1080     | ✗ | -       | -    | 韩国              | -
47.83.222.227:1080     | ✓ | 192ms   | -    | 韩国              | -
47.83.225.179:1080     | ✓ | 198ms   | -    | 韩国              | -
47.83.238.234:1080     | ✓ | 197ms   | -    | 韩国              | -
47.83.239.90:1080      | ✓ | 194ms   | -    | 韩国              | -
47.83.240.38:1080      | ✓ | 194ms   | -    | 韩国              | -
47.83.243.95:1080      | ✓ | 196ms   | -    | 韩国              | -
47.83.243.220:1080     | ✓ | 193ms   | -    | 韩国              | -
47.83.249.227:1080     | ✗ | -       | -    | 韩国              | -
47.83.252.232:1080     | ✓ | 196ms   | -    | 韩国              | -
47.83.253.203:1080     | ✓ | 189ms   | -    | 韩国              | -
47.83.254.194:1080     | ✓ | 196ms   | -    | 韩国              | -
47.83.254.242:1080     | ✓ | 195ms   | -    | 韩国              | -
47.86.5.21:1080        | ✗ | -       | -    | 韩国              | -
47.86.7.217:1080       | ✓ | 195ms   | -    | 韩国              | -
47.86.13.214:1080      | ✓ | 202ms   | -    | 韩国              | -
47.86.16.117:1080      | ✓ | 193ms   | -    | 韩国              | -
47.86.21.114:1080      | ✓ | 195ms   | -    | 韩国              | -
47.86.28.182:1080      | ✓ | 193ms   | -    | 韩国              | -
47.86.35.127:1080      | ✓ | 198ms   | -    | 韩国              | -
47.86.36.37:1080       | ✓ | 196ms   | -    | 韩国              | -
47.86.38.54:1080       | ✓ | 196ms   | -    | 韩国              | -
47.86.39.208:1080      | ✓ | 198ms   | -    | 韩国              | -
47.86.45.67:1080       | ✓ | 192ms   | -    | 韩国              | -
47.86.225.36:1080      | ✓ | 195ms   | -    | 韩国              | -
47.86.225.133:1080     | ✓ | 193ms   | -    | 韩国              | -
47.86.225.145:1080     | ✓ | 192ms   | -    | 韩国              | -
47.86.225.200:1080     | ✓ | 198ms   | -    | 韩国              | -
47.86.227.216:1080     | ✓ | 198ms   | -    | 韩国              | -
47.86.227.249:1080     | ✓ | 193ms   | -    | 韩国              | -
47.86.228.129:1080     | ✓ | 196ms   | -    | 韩国              | -
47.86.228.152:1080     | ✓ | 192ms   | -    | 韩国              | -
47.86.228.221:1080     | ✓ | 192ms   | -    | 韩国              | -
47.86.228.237:1080     | ✓ | 192ms   | -    | 韩国              | -
47.86.229.98:1080      | ✓ | 196ms   | -    | 韩国              | -
47.86.229.160:1080     | ✓ | 194ms   | -    | 韩国              | -
47.86.229.179:1080     | ✓ | 193ms   | -    | 韩国              | -
47.86.231.39:1080      | ✓ | 192ms   | -    | 韩国              | -
47.86.231.73:1080      | ✓ | 193ms   | -    | 韩国              | -
47.86.231.113:1080     | ✓ | 194ms   | -    | 韩国              | -
47.86.231.167:1080     | ✓ | 191ms   | -    | 韩国              | -
